id,colonia
446,Hueytlale
447,Deportivo Pensil
448,San Miguel Chapultepec Ii Seccion
449,Chalma De Guadalupe
450,10 De Mayo
451,Tablas De San Lorenzo
452,Pueblo Aculco
453,12 De Diciembre
454,Potrero San Bernardino
455,Pueblo Santa Cecilia Tepetlapa
456,Huichapan
457,Emiliano Zapata
458,Pueblo San Pablo Tepetlapa
459,Parque San Andres
460,Culhuacan Ctm Seccion X-A
461,Tlalcoligia
462,Insurgentes Cuicuilco
463,La Lengueta
464,Nicolas Bravo
465,Felipe Pescador
466,Ampliacion Penitenciaria
467,Rinconada Coapa 2a Seccion
468,Emilio Carranza
469,Veronica Anzures
470,Ciudad Universitaria
471,Barrio San Rafael Ticoman
472,Juan Gonzalez Romero
473,Napoles
474,Isidro Fabela
475,Zona Escolar
476,Pueblo De Santa Ursula Coapa
477,Olimpica
478,Ex Escuela De Tiro
479,Ampliacion Aviacion Civil
480,Del Obrero
481,Santiago Atepetlac
482,La Asuncion
483,Xotepingo
484,Federal
485,Jacarandas
486,Torres Lindavista
487,Bosque De Chapultepec Ii Seccion
488,Residencial La Escalera
489,Jorge Negrete
490,Estacion Pantaco
491,Parque Nacional Bosque Del Pedregal
492,Portales Norte
493,Mixcoatl
494,Gertrudis Sanchez 2a Seccion
495,Barrio Santa Maria Nonoalco
496,Compositores Mexicanos
497,Parque Nacional Cerro De La Estrella
498,La Martinica
499,Lomas De Puerta Grande
500,Pueblo San Mateo Xalpa
501,Barrio Caltongo
502,El Sifon
503,San Jeronimo Aculco
504,Narvarte Poniente
505,Lindavista Norte
506,Tepalcates
507,Militar Marte
508,Arenal De Guadalupe
509,San Juan De Aragon I Seccion
510,Guadalupe Tepeyac
511,Industrial
512,Pueblo Sta Cruz Meyehualco
513,Irrigacion
514,Carlos Hank Gonzalez
515,Ampliacion Alpes
516,Lomas De Tarango
517,Las Aguilas 1ra Seccion
518,La Noria
519,Cacama
520,Barrio Santa Catarina
521,El Bosque 2a Secc
522,Prado Churubusco
523,San Jeronimo Lidice
